lat;lon;U;V
55.18;19.46;-5.68;3.65
55.19;19.46;-5.68;3.65
55.2;19.46;-5.67;3.65
55.21;19.46;-5.67;3.65
55.22;19.46;-5.67;3.65
55.23;19.46;-5.67;3.65
55.24;19.46;-5.67;3.65
55.24;19.46;-5.67;3.65
55.25;19.46;-5.68;3.65
55.26;19.46;-5.68;3.65
55.27;19.46;-5.69;3.65
55.28;19.46;-5.7;3.65
55.29;19.46;-5.71;3.65
55.3;19.46;-5.73;3.65
55.31;19.46;-5.75;3.65
55.32;19.46;-5.77;3.65
55.33;19.46;-5.8;3.64
55.33;19.46;-5.83;3.64
55.34;19.46;-5.87;3.63
55.35;19.46;-5.91;3.61
55.36;19.46;-5.97;3.59
55.37;19.46;-6.03;3.55
55.38;19.46;-6.1;3.51
55.39;19.46;-6.19;3.44
55.4;19.46;-6.27;3.34
55.41;19.46;-6.36;3.22
55.42;19.46;-6.44;3.05
55.42;19.46;-6.5;2.83
55.43;19.46;-6.51;2.54
55.44;19.46;-6.42;2.18
55.45;19.46;-6.12;1.71
55.46;19.46;-5.43;1.13
54.4;19.48;-3.21;0.59
54.41;19.48;-8.01;1.31
54.42;19.48;-8.28;1.63
54.43;19.48;-8.31;1.99
54.43;19.48;-8.22;2.31
54.44;19.48;-8.07;2.58
54.45;19.48;-7.9;2.8
54.46;19.48;-7.72;2.98
54.47;19.48;-7.54;3.13
54.48;19.48;-7.37;3.25
54.49;19.48;-7.21;3.35
54.5;19.48;-7.07;3.43
54.51;19.48;-6.94;3.49
54.52;19.48;-6.82;3.54
54.52;19.48;-6.71;3.58
54.53;19.48;-6.62;3.62
54.54;19.48;-6.53;3.64
54.55;19.48;-6.46;3.66
54.56;19.48;-6.4;3.67
54.57;19.48;-6.35;3.68
54.58;19.48;-6.31;3.68
54.59;19.48;-6.27;3.68
54.6;19.48;-6.23;3.68
54.61;19.48;-6.2;3.68
54.61;19.48;-6.18;3.69
54.62;19.48;-6.15;3.69
54.63;19.48;-6.13;3.69
54.64;19.48;-6.11;3.69
54.65;19.48;-6.08;3.69
54.66;19.48;-6.06;3.69
54.67;19.48;-6.04;3.7
54.68;19.48;-6.02;3.69
54.69;19.48;-5.99;3.69
54.7;19.48;-5.96;3.69
54.7;19.48;-5.93;3.69
54.71;19.48;-5.9;3.69
54.72;19.48;-5.86;3.69
54.73;19.48;-5.83;3.69
54.74;19.48;-5.79;3.7
54.75;19.48;-5.76;3.7
54.76;19.48;-5.73;3.7
54.77;19.48;-5.7;3.7
54.78;19.48;-5.68;3.7
54.79;19.48;-5.67;3.7
54.79;19.48;-5.66;3.69
54.8;19.48;-5.65;3.69
54.81;19.48;-5.64;3.69
54.82;19.48;-5.63;3.68
54.83;19.48;-5.63;3.68
54.84;19.48;-5.63;3.68
54.85;19.48;-5.63;3.68
54.86;19.48;-5.63;3.67
54.87;19.48;-5.64;3.67
54.88;19.48;-5.64;3.67
54.88;19.48;-5.65;3.67
54.89;19.48;-5.66;3.66
54.9;19.48;-5.66;3.66
54.91;19.48;-5.67;3.66
54.92;19.48;-5.68;3.66
54.93;19.48;-5.69;3.65
54.94;19.48;-5.7;3.65
54.95;19.48;-5.71;3.65
54.96;19.48;-5.72;3.65
54.97;19.48;-5.72;3.64
54.97;19.48;-5.72;3.64
54.98;19.48;-5.71;3.64
54.99;19.48;-5.7;3.65
55;19.48;-5.69;3.65
55.01;19.48;-5.68;3.65
55.02;19.48;-5.68;3.66
55.03;19.48;-5.67;3.66
55.04;19.48;-5.67;3.66
55.05;19.48;-5.67;3.66
55.06;19.48;-5.67;3.67
55.06;19.48;-5.68;3.66
55.07;19.48;-5.68;3.66
55.08;19.48;-5.69;3.66
55.09;19.48;-5.69;3.66
55.1;19.48;-5.69;3.66
55.11;19.48;-5.69;3.66
55.12;19.48;-5.69;3.66
55.13;19.48;-5.69;3.66
55.14;19.48;-5.69;3.66
55.15;19.48;-5.69;3.65
55.15;19.48;-5.68;3.65
55.16;19.48;-5.68;3.65
55.17;19.48;-5.68;3.65
55.18;19.48;-5.68;3.65
55.19;19.48;-5.67;3.65
55.2;19.48;-5.67;3.65
55.21;19.48;-5.67;3.65
55.22;19.48;-5.66;3.65
55.23;19.48;-5.66;3.65
55.24;19.48;-5.66;3.65
55.24;19.48;-5.67;3.65
55.25;19.48;-5.67;3.65
55.26;19.48;-5.67;3.65
55.27;19.48;-5.68;3.65
55.28;19.48;-5.69;3.65
55.29;19.48;-5.7;3.65
55.3;19.48;-5.71;3.65
55.31;19.48;-5.73;3.65
55.32;19.48;-5.75;3.65
55.33;19.48;-5.78;3.64
55.33;19.48;-5.81;3.64
55.34;19.48;-5.85;3.63
55.35;19.48;-5.9;3.61
55.36;19.48;-5.95;3.59
55.37;19.48;-6.02;3.55
55.38;19.48;-6.09;3.5
55.39;19.48;-6.17;3.43
55.4;19.48;-6.26;3.34
55.41;19.48;-6.35;3.21
55.42;19.48;-6.43;3.04
55.42;19.48;-6.49;2.83
55.43;19.48;-6.5;2.54
55.44;19.48;-6.4;2.18
55.45;19.48;-6.11;1.71
55.46;19.48;-5.42;1.13
54.41;19.49;-7.27;0.43
54.42;19.49;-8.19;1.19
54.43;19.49;-8.33;1.74
54.43;19.49;-8.28;2.12
54.44;19.49;-8.16;2.42
54.45;19.49;-8;2.66
54.46;19.49;-7.82;2.87
54.47;19.49;-7.64;3.04
54.48;19.49;-7.47;3.18
54.49;19.49;-7.31;3.29
54.5;19.49;-7.16;3.38
54.51;19.49;-7.02;3.45
54.52;19.49;-6.9;3.51
54.52;19.49;-6.79;3.56
54.53;19.49;-6.69;3.6
54.54;19.49;-6.6;3.63
54.55;19.49;-6.52;3.65
54.56;19.49;-6.46;3.66
54.57;19.49;-6.4;3.67
54.58;19.49;-6.36;3.67
54.59;19.49;-6.32;3.68
54.6;19.49;-6.29;3.68
54.61;19.49;-6.26;3.68
54.61;19.49;-6.24;3.68
54.62;19.49;-6.21;3.68
54.63;19.49;-6.19;3.69
54.64;19.49;-6.17;3.69
54.65;19.49;-6.15;3.69
54.66;19.49;-6.12;3.69
54.67;19.49;-6.1;3.69
54.68;19.49;-6.08;3.69
54.69;19.49;-6.05;3.69
54.7;19.49;-6.02;3.69
54.7;19.49;-5.99;3.69
54.71;19.49;-5.95;3.69
54.72;19.49;-5.92;3.69
54.73;19.49;-5.88;3.69
54.74;19.49;-5.84;3.7
54.75;19.49;-5.81;3.7
54.76;19.49;-5.77;3.7
54.77;19.49;-5.75;3.71
54.78;19.49;-5.73;3.7
54.79;19.49;-5.71;3.7
54.79;19.49;-5.7;3.7
54.8;19.49;-5.69;3.7
54.81;19.49;-5.68;3.69
54.82;19.49;-5.67;3.69
54.83;19.49;-5.67;3.69
54.84;19.49;-5.67;3.68
54.85;19.49;-5.67;3.68
54.86;19.49;-5.67;3.68
54.87;19.49;-5.67;3.68
54.88;19.49;-5.68;3.67
54.88;19.49;-5.68;3.67
54.89;19.49;-5.69;3.67
54.9;19.49;-5.7;3.66
54.91;19.49;-5.71;3.66
54.92;19.49;-5.72;3.66
54.93;19.49;-5.73;3.65
54.94;19.49;-5.74;3.65
54.95;19.49;-5.74;3.65
54.96;19.49;-5.75;3.64
54.97;19.49;-5.75;3.64
54.97;19.49;-5.75;3.64
54.98;19.49;-5.74;3.64
54.99;19.49;-5.73;3.65
55;19.49;-5.72;3.65
55.01;19.49;-5.71;3.65
55.02;19.49;-5.7;3.66
55.03;19.49;-5.69;3.66
55.04;19.49;-5.69;3.66
55.05;19.49;-5.69;3.66
55.06;19.49;-5.69;3.67
55.06;19.49;-5.7;3.67
55.07;19.49;-5.7;3.67
55.08;19.49;-5.7;3.67
55.09;19.49;-5.7;3.67
55.1;19.49;-5.7;3.67
55.11;19.49;-5.7;3.67
55.12;19.49;-5.7;3.67
55.13;19.49;-5.69;3.66
55.14;19.49;-5.69;3.66
55.15;19.49;-5.69;3.66
55.15;19.49;-5.68;3.66
55.16;19.49;-5.68;3.65
55.17;19.49;-5.68;3.65
55.18;19.49;-5.67;3.65
55.19;19.49;-5.67;3.65
55.2;19.49;-5.67;3.65
55.21;19.49;-5.66;3.65
55.22;19.49;-5.66;3.65
55.23;19.49;-5.66;3.65
55.24;19.49;-5.66;3.65
55.24;19.49;-5.66;3.65
55.25;19.49;-5.66;3.65
55.26;19.49;-5.67;3.65
55.27;19.49;-5.67;3.65
55.28;19.49;-5.68;3.65
55.29;19.49;-5.69;3.65
55.3;19.49;-5.7;3.65
55.31;19.49;-5.72;3.65
55.32;19.49;-5.74;3.65
55.33;19.49;-5.77;3.64
55.33;19.49;-5.8;3.64
55.34;19.49;-5.84;3.63
55.35;19.49;-5.88;3.61
55.36;19.49;-5.94;3.59
55.37;19.49;-6;3.55
55.38;19.49;-6.08;3.5
55.39;19.49;-6.16;3.43
55.4;19.49;-6.25;3.34
55.41;19.49;-6.34;3.21
55.42;19.49;-6.42;3.04
55.42;19.49;-6.48;2.82
55.43;19.49;-6.49;2.54
55.44;19.49;-6.39;2.17
55.45;19.49;-6.1;1.71
55.46;19.49;-5.41;1.13
54.41;19.51;-3.3;0.59
54.42;19.51;-8.15;1.31
54.43;19.51;-8.31;1.6
54.43;19.51;-8.34;1.93
54.44;19.51;-8.26;2.24
54.45;19.51;-8.11;2.51
54.46;19.51;-7.94;2.74
54.47;19.51;-7.76;2.94
54.48;19.51;-7.58;3.1
54.49;19.51;-7.41;3.23
54.5;19.51;-7.25;3.33
54.51;19.51;-7.11;3.41
54.52;19.51;-6.98;3.48
54.52;19.51;-6.87;3.53
54.53;19.51;-6.76;3.58
54.54;19.51;-6.67;3.61
54.55;19.51;-6.59;3.64
54.56;19.51;-6.52;3.65
54.57;19.51;-6.47;3.66
54.58;19.51;-6.43;3.67
54.59;19.51;-6.39;3.67
54.6;19.51;-6.36;3.67
54.61;19.51;-6.33;3.67
54.61;19.51;-6.31;3.68
54.62;19.51;-6.28;3.68
54.63;19.51;-6.26;3.68
54.64;19.51;-6.24;3.68
54.65;19.51;-6.22;3.68
54.66;19.51;-6.2;3.68
54.67;19.51;-6.17;3.68
54.68;19.51;-6.15;3.68
54.69;19.51;-6.12;3.68
54.7;19.51;-6.09;3.68
54.7;19.51;-6.06;3.68
54.71;19.51;-6.02;3.69
54.72;19.51;-5.98;3.69
54.73;19.51;-5.94;3.69
54.74;19.51;-5.9;3.7
54.75;19.51;-5.86;3.7
54.76;19.51;-5.83;3.71
54.77;19.51;-5.8;3.71
54.78;19.51;-5.78;3.71
54.79;19.51;-5.76;3.71
54.79;19.51;-5.74;3.71
54.8;19.51;-5.73;3.7
54.81;19.51;-5.73;3.7
54.82;19.51;-5.72;3.69
54.83;19.51;-5.71;3.69
54.84;19.51;-5.71;3.69
54.85;19.51;-5.71;3.68
54.86;19.51;-5.71;3.68
54.87;19.51;-5.72;3.68
54.88;19.51;-5.72;3.67
54.88;19.51;-5.73;3.67
54.89;19.51;-5.73;3.67
54.9;19.51;-5.74;3.66
54.91;19.51;-5.75;3.66
54.92;19.51;-5.76;3.66
54.93;19.51;-5.77;3.65
54.94;19.51;-5.77;3.65
54.95;19.51;-5.78;3.64
54.96;19.51;-5.78;3.64
54.97;19.51;-5.78;3.64
54.97;19.51;-5.78;3.64
54.98;19.51;-5.77;3.64
54.99;19.51;-5.76;3.65
55;19.51;-5.75;3.65
55.01;19.51;-5.74;3.65
55.02;19.51;-5.73;3.66
55.03;19.51;-5.72;3.66
55.04;19.51;-5.72;3.66
55.05;19.51;-5.72;3.66
55.06;19.51;-5.72;3.67
55.06;19.51;-5.72;3.67
55.07;19.51;-5.72;3.67
55.08;19.51;-5.72;3.67
55.09;19.51;-5.72;3.67
55.1;19.51;-5.72;3.67
55.11;19.51;-5.72;3.67
55.12;19.51;-5.71;3.67
55.13;19.51;-5.71;3.67
55.14;19.51;-5.7;3.67
55.15;19.51;-5.7;3.67
55.15;19.51;-5.69;3.66
55.16;19.51;-5.69;3.66
55.17;19.51;-5.68;3.66
55.18;19.51;-5.68;3.65
55.19;19.51;-5.67;3.65
55.2;19.51;-5.67;3.65
55.21;19.51;-5.66;3.65
55.22;19.51;-5.66;3.65
55.23;19.51;-5.66;3.65
55.24;19.51;-5.66;3.65
55.24;19.51;-5.66;3.65
55.25;19.51;-5.66;3.65
55.26;19.51;-5.66;3.65
55.27;19.51;-5.66;3.65
55.28;19.51;-5.67;3.65
55.29;19.51;-5.68;3.65
55.3;19.51;-5.69;3.65
55.31;19.51;-5.71;3.65
55.32;19.51;-5.73;3.65
55.33;19.51;-5.76;3.65
55.33;19.51;-5.79;3.64
55.34;19.51;-5.82;3.63
55.35;19.51;-5.87;3.62
55.36;19.51;-5.92;3.59
55.37;19.51;-5.99;3.56
55.38;19.51;-6.06;3.51
55.39;19.51;-6.15;3.44
55.4;19.51;-6.23;3.34
55.41;19.51;-6.32;3.21
55.42;19.51;-6.41;3.04
55.42;19.51;-6.47;2.82
55.43;19.51;-6.48;2.54
55.44;19.51;-6.39;2.17
55.45;19.51;-6.1;1.71
55.46;19.51;-5.4;1.13
54.42;19.52;-7.59;0.43
54.43;19.52;-8.12;1.14
54.43;19.52;-8.36;1.65
54.44;19.52;-8.34;2.04
54.45;19.52;-8.22;2.35
54.46;19.52;-8.05;2.61
54.47;19.52;-7.87;2.83
54.48;19.52;-7.68;3.01
54.49;19.52;-7.51;3.15
54.5;19.52;-7.35;3.27
54.51;19.52;-7.21;3.36
54.52;19.52;-7.07;3.44
54.52;19.52;-6.95;3.5
54.53;19.52;-6.85;3.55
54.54;19.52;-6.75;3.59
54.55;19.52;-6.67;3.62
54.56;19.52;-6.6;3.64
54.57;19.52;-6.55;3.65
54.58;19.52;-6.5;3.66
54.59;19.52;-6.46;3.66
54.6;19.52;-6.43;3.67
54.61;19.52;-6.41;3.67
54.61;19.52;-6.39;3.67
54.62;19.52;-6.37;3.66
54.63;19.52;-6.35;3.66
54.64;19.52;-6.33;3.66
54.65;19.52;-6.31;3.66
54.66;19.52;-6.29;3.67
54.67;19.52;-6.26;3.67
54.68;19.52;-6.24;3.67
54.69;19.52;-6.21;3.67
54.7;19.52;-6.18;3.67
54.7;19.52;-6.14;3.67
54.71;19.52;-6.1;3.68
54.72;19.52;-6.06;3.68
54.73;19.52;-6.02;3.69
54.74;19.52;-5.97;3.7
54.75;19.52;-5.93;3.71
54.76;19.52;-5.89;3.71
54.77;19.52;-5.86;3.72
54.78;19.52;-5.83;3.72
54.79;19.52;-5.82;3.71
54.79;19.52;-5.8;3.71
54.8;19.52;-5.79;3.71
54.81;19.52;-5.78;3.7
54.82;19.52;-5.77;3.7
54.83;19.52;-5.77;3.69
54.84;19.52;-5.77;3.69
54.85;19.52;-5.77;3.69
54.86;19.52;-5.77;3.68
54.87;19.52;-5.77;3.68
54.88;19.52;-5.77;3.68
54.88;19.52;-5.78;3.67
54.89;19.52;-5.78;3.67
54.9;19.52;-5.79;3.66
54.91;19.52;-5.8;3.66
54.92;19.52;-5.81;3.65
54.93;19.52;-5.81;3.65
54.94;19.52;-5.82;3.64
54.95;19.52;-5.83;3.64
54.96;19.52;-5.83;3.64
54.97;19.52;-5.83;3.64
54.97;19.52;-5.82;3.64
54.98;19.52;-5.81;3.64
54.99;19.52;-5.8;3.65
55;19.52;-5.78;3.65
55.01;19.52;-5.77;3.65
55.02;19.52;-5.76;3.66
55.03;19.52;-5.76;3.66
55.04;19.52;-5.75;3.66
55.05;19.52;-5.75;3.66
55.06;19.52;-5.75;3.67
55.06;19.52;-5.76;3.67
55.07;19.52;-5.76;3.67
55.08;19.52;-5.75;3.67
55.09;19.52;-5.75;3.67
55.1;19.52;-5.75;3.68
55.11;19.52;-5.74;3.68
55.12;19.52;-5.73;3.68
55.13;19.52;-5.72;3.68
55.14;19.52;-5.71;3.68
55.15;19.52;-5.71;3.67
55.15;19.52;-5.7;3.67
55.16;19.52;-5.69;3.67
55.17;19.52;-5.69;3.66
55.18;19.52;-5.68;3.66
55.19;19.52;-5.67;3.66
55.2;19.52;-5.67;3.65
55.21;19.52;-5.66;3.65
55.22;19.52;-5.66;3.65
55.23;19.52;-5.66;3.65
55.24;19.52;-5.66;3.65
55.24;19.52;-5.65;3.65
55.25;19.52;-5.65;3.65
55.26;19.52;-5.66;3.65
55.27;19.52;-5.66;3.65
55.28;19.52;-5.66;3.65
55.29;19.52;-5.67;3.65
55.3;19.52;-5.68;3.65
55.31;19.52;-5.7;3.65
55.32;19.52;-5.72;3.65
55.33;19.52;-5.74;3.65
55.33;19.52;-5.77;3.64
55.34;19.52;-5.81;3.63
55.35;19.52;-5.85;3.62
55.36;19.52;-5.91;3.59
55.37;19.52;-5.97;3.56
55.38;19.52;-6.05;3.51
55.39;19.52;-6.13;3.44
55.4;19.52;-6.22;3.34
55.41;19.52;-6.31;3.21
55.42;19.52;-6.4;3.04
55.42;19.52;-6.46;2.82
55.43;19.52;-6.47;2.54
55.44;19.52;-6.38;2.17
55.45;19.52;-6.09;1.71
55.46;19.52;-5.4;1.13
54.42;19.54;-3.52;0.49
54.43;19.54;-7.44;1.12
54.43;19.54;-8.32;1.47
54.44;19.54;-8.41;1.87
54.45;19.54;-8.31;2.2
54.46;19.54;-8.16;2.47
54.47;19.54;-7.98;2.7
54.48;19.54;-7.79;2.91
54.49;19.54;-7.62;3.07
54.5;19.54;-7.45;3.2
54.51;19.54;-7.31;3.3
54.52;19.54;-7.17;3.39
54.52;19.54;-7.05;3.45
54.53;19.54;-6.94;3.51
54.54;19.54;-6.84;3.56
54.55;19.54;-6.76;3.59
54.56;19.54;-6.69;3.62
54.57;19.54;-6.63;3.63
54.58;19.54;-6.59;3.64
54.59;19.54;-6.55;3.65
54.6;19.54;-6.52;3.65
54.61;19.54;-6.5;3.65
54.61;19.54;-6.48;3.65
54.62;19.54;-6.46;3.64
54.63;19.54;-6.45;3.64
54.64;19.54;-6.43;3.64
54.65;19.54;-6.42;3.64
54.66;19.54;-6.39;3.64
54.67;19.54;-6.37;3.64
54.68;19.54;-6.34;3.64
54.69;19.54;-6.31;3.65
54.7;19.54;-6.28;3.65
54.7;19.54;-6.24;3.66
54.71;19.54;-6.2;3.66
54.72;19.54;-6.15;3.67
54.73;19.54;-6.1;3.68
54.74;19.54;-6.05;3.7
54.75;19.54;-6.01;3.71
54.76;19.54;-5.96;3.72
54.77;19.54;-5.93;3.72
54.78;19.54;-5.9;3.72
54.79;19.54;-5.88;3.72
54.79;19.54;-5.87;3.71
54.8;19.54;-5.86;3.71
54.81;19.54;-5.85;3.7
54.82;19.54;-5.84;3.7
54.83;19.54;-5.83;3.7
54.84;19.54;-5.83;3.69
54.85;19.54;-5.83;3.69
54.86;19.54;-5.83;3.68
54.87;19.54;-5.83;3.68
54.88;19.54;-5.83;3.67
54.88;19.54;-5.83;3.67
54.89;19.54;-5.84;3.67
54.9;19.54;-5.85;3.66
54.91;19.54;-5.85;3.66
54.92;19.54;-5.86;3.65
54.93;19.54;-5.87;3.65
54.94;19.54;-5.87;3.64
54.95;19.54;-5.88;3.64
54.96;19.54;-5.88;3.63
54.97;19.54;-5.87;3.63
54.97;19.54;-5.86;3.63
54.98;19.54;-5.85;3.64
54.99;19.54;-5.84;3.64
55;19.54;-5.82;3.65
55.01;19.54;-5.81;3.65
55.02;19.54;-5.8;3.65
55.03;19.54;-5.79;3.66
55.04;19.54;-5.79;3.66
55.05;19.54;-5.79;3.66
55.06;19.54;-5.79;3.66
55.06;19.54;-5.8;3.66
55.07;19.54;-5.8;3.66
55.08;19.54;-5.8;3.66
55.09;19.54;-5.79;3.67
55.1;19.54;-5.78;3.67
55.11;19.54;-5.77;3.68
55.12;19.54;-5.76;3.68
55.13;19.54;-5.74;3.68
55.14;19.54;-5.73;3.68
55.15;19.54;-5.72;3.68
55.15;19.54;-5.71;3.68
55.16;19.54;-5.7;3.67
55.17;19.54;-5.69;3.67
55.18;19.54;-5.68;3.66
55.19;19.54;-5.68;3.66
55.2;19.54;-5.67;3.66
55.21;19.54;-5.67;3.65
55.22;19.54;-5.66;3.65
55.23;19.54;-5.66;3.65
55.24;19.54;-5.66;3.65
55.24;19.54;-5.65;3.65
55.25;19.54;-5.65;3.65
55.26;19.54;-5.65;3.65
55.27;19.54;-5.65;3.65
55.28;19.54;-5.66;3.65
55.29;19.54;-5.66;3.65
55.3;19.54;-5.67;3.66
55.31;19.54;-5.69;3.66
55.32;19.54;-5.71;3.65
55.33;19.54;-5.73;3.65
55.33;19.54;-5.76;3.65
55.34;19.54;-5.8;3.64
55.35;19.54;-5.84;3.62
55.36;19.54;-5.89;3.6
55.37;19.54;-5.96;3.56
55.38;19.54;-6.03;3.51
55.39;19.54;-6.12;3.44
55.4;19.54;-6.21;3.35
55.41;19.54;-6.3;3.22
55.42;19.54;-6.39;3.05
55.42;19.54;-6.45;2.83
55.43;19.54;-6.46;2.54
55.44;19.54;-6.37;2.17
55.45;19.54;-6.09;1.71
55.46;19.54;-5.4;1.12
54.43;19.56;-3.45;0.64
54.43;19.56;-8.35;1.42
54.44;19.56;-8.42;1.71
54.45;19.56;-8.37;2.02
54.46;19.56;-8.24;2.31
54.47;19.56;-8.08;2.57
54.48;19.56;-7.9;2.79
54.49;19.56;-7.72;2.97
54.5;19.56;-7.56;3.11
54.51;19.56;-7.41;3.23
54.52;19.56;-7.28;3.32
54.52;19.56;-7.16;3.4
54.53;19.56;-7.04;3.46
54.54;19.56;-6.95;3.51
54.55;19.56;-6.86;3.55
54.56;19.56;-6.79;3.58
54.57;19.56;-6.73;3.6
54.58;19.56;-6.69;3.61
54.59;19.56;-6.65;3.62
54.6;19.56;-6.63;3.62
54.61;19.56;-6.6;3.62
54.61;19.56;-6.59;3.62
54.62;19.56;-6.58;3.61
54.63;19.56;-6.57;3.6
54.64;19.56;-6.56;3.59
54.65;19.56;-6.54;3.59
54.66;19.56;-6.52;3.59
54.67;19.56;-6.5;3.59
54.68;19.56;-6.47;3.6
54.69;19.56;-6.43;3.61
54.7;19.56;-6.39;3.62
54.7;19.56;-6.35;3.63
54.71;19.56;-6.3;3.64
54.72;19.56;-6.25;3.66
54.73;19.56;-6.2;3.67
54.74;19.56;-6.15;3.69
54.75;19.56;-6.1;3.7
54.76;19.56;-6.05;3.71
54.77;19.56;-6.01;3.72
54.78;19.56;-5.99;3.72
54.79;19.56;-5.96;3.72
54.79;19.56;-5.95;3.71
54.8;19.56;-5.93;3.71
54.81;19.56;-5.92;3.7
54.82;19.56;-5.91;3.7
54.83;19.56;-5.91;3.69
54.84;19.56;-5.9;3.69
54.85;19.56;-5.9;3.68
54.86;19.56;-5.9;3.68
54.87;19.56;-5.9;3.67
54.88;19.56;-5.9;3.67
54.88;19.56;-5.9;3.67
54.89;19.56;-5.9;3.66
54.9;19.56;-5.91;3.66
54.91;19.56;-5.91;3.65
54.92;19.56;-5.92;3.65
54.93;19.56;-5.93;3.64
54.94;19.56;-5.93;3.63
54.95;19.56;-5.93;3.63
54.96;19.56;-5.93;3.63
54.97;19.56;-5.93;3.63
54.97;19.56;-5.92;3.63
54.98;19.56;-5.9;3.63
54.99;19.56;-5.89;3.64
55;19.56;-5.87;3.64
55.01;19.56;-5.86;3.65
55.02;19.56;-5.85;3.65
55.03;19.56;-5.84;3.65
55.04;19.56;-5.84;3.65
55.05;19.56;-5.84;3.65
55.06;19.56;-5.84;3.65
55.06;19.56;-5.85;3.65
55.07;19.56;-5.85;3.65
55.08;19.56;-5.85;3.65
55.09;19.56;-5.84;3.66
55.1;19.56;-5.83;3.66
55.11;19.56;-5.81;3.67
55.12;19.56;-5.79;3.68
55.13;19.56;-5.77;3.68
55.14;19.56;-5.76;3.68
55.15;19.56;-5.74;3.68
55.15;19.56;-5.73;3.68
55.16;19.56;-5.72;3.68
55.17;19.56;-5.71;3.67
55.18;19.56;-5.69;3.67
55.19;19.56;-5.69;3.67
55.2;19.56;-5.68;3.66
55.21;19.56;-5.67;3.66
55.22;19.56;-5.67;3.66
55.23;19.56;-5.66;3.65
55.24;19.56;-5.66;3.65
55.24;19.56;-5.66;3.65
55.25;19.56;-5.65;3.65
55.26;19.56;-5.65;3.65
55.27;19.56;-5.65;3.65
55.28;19.56;-5.65;3.66
55.29;19.56;-5.66;3.66
55.3;19.56;-5.67;3.66
55.31;19.56;-5.68;3.66
55.32;19.56;-5.7;3.66
55.33;19.56;-5.72;3.66
55.33;19.56;-5.75;3.65
55.34;19.56;-5.78;3.64
55.35;19.56;-5.83;3.63
55.36;19.56;-5.88;3.6
55.37;19.56;-5.95;3.57
55.38;19.56;-6.02;3.52
55.39;19.56;-6.11;3.45
55.4;19.56;-6.2;3.35
55.41;19.56;-6.29;3.22
55.42;19.56;-6.38;3.05
55.42;19.56;-6.44;2.83
55.43;19.56;-6.45;2.54
55.44;19.56;-6.37;2.17
55.45;19.56;-6.08;1.71
55.46;19.56;-5.4;1.12
54.43;19.57;-8.01;0.49
54.44;19.57;-8.34;1.27
54.45;19.57;-8.38;1.76
54.46;19.57;-8.3;2.11
54.47;19.57;-8.16;2.41
54.48;19.57;-8;2.65
54.49;19.57;-7.83;2.85
54.5;19.57;-7.67;3.01
54.51;19.57;-7.53;3.13
54.52;19.57;-7.4;3.23
54.52;19.57;-7.28;3.32
54.53;19.57;-7.16;3.39
54.54;19.57;-7.06;3.44
54.55;19.57;-6.98;3.49
54.56;19.57;-6.91;3.52
54.57;19.57;-6.85;3.55
54.58;19.57;-6.81;3.57
54.59;19.57;-6.77;3.58
54.6;19.57;-6.75;3.58
54.61;19.57;-6.73;3.58
54.61;19.57;-6.71;3.58
54.62;19.57;-6.7;3.57
54.63;19.57;-6.7;3.56
54.64;19.57;-6.69;3.55
54.65;19.57;-6.69;3.54
54.66;19.57;-6.67;3.53
54.67;19.57;-6.65;3.53
54.68;19.57;-6.61;3.54
54.69;19.57;-6.58;3.56
54.7;19.57;-6.53;3.57
54.7;19.57;-6.48;3.59
54.71;19.57;-6.43;3.61
54.72;19.57;-6.37;3.62
54.73;19.57;-6.31;3.64
54.74;19.57;-6.26;3.66
54.75;19.57;-6.2;3.68
54.76;19.57;-6.15;3.69
54.77;19.57;-6.11;3.7
54.78;19.57;-6.08;3.71
54.79;19.57;-6.06;3.71
54.79;19.57;-6.04;3.7
54.8;19.57;-6.02;3.7
54.81;19.57;-6.01;3.69
54.82;19.57;-6;3.69
54.83;19.57;-5.99;3.69
54.84;19.57;-5.99;3.68
54.85;19.57;-5.98;3.68
54.86;19.57;-5.98;3.67
54.87;19.57;-5.98;3.67
54.88;19.57;-5.97;3.66
54.88;19.57;-5.97;3.66
54.89;19.57;-5.98;3.65
54.9;19.57;-5.98;3.65
54.91;19.57;-5.98;3.64
54.92;19.57;-5.99;3.64
54.93;19.57;-5.99;3.63
54.94;19.57;-5.99;3.63
54.95;19.57;-5.99;3.62
54.96;19.57;-5.99;3.62
54.97;19.57;-5.98;3.62
54.97;19.57;-5.97;3.62
54.98;19.57;-5.96;3.63
54.99;19.57;-5.94;3.63
55;19.57;-5.92;3.63
55.01;19.57;-5.91;3.64
55.02;19.57;-5.9;3.64
55.03;19.57;-5.89;3.64
55.04;19.57;-5.89;3.64
55.05;19.57;-5.89;3.64
55.06;19.57;-5.9;3.64
55.06;19.57;-5.9;3.64
55.07;19.57;-5.91;3.63
55.08;19.57;-5.91;3.63
55.09;19.57;-5.9;3.64
55.1;19.57;-5.89;3.64
55.11;19.57;-5.86;3.65
55.12;19.57;-5.84;3.66
55.13;19.57;-5.82;3.67
55.14;19.57;-5.79;3.68
55.15;19.57;-5.77;3.68
55.15;19.57;-5.75;3.68
55.16;19.57;-5.74;3.68
55.17;19.57;-5.72;3.68
55.18;19.57;-5.71;3.67
55.19;19.57;-5.7;3.67
55.2;19.57;-5.69;3.67
55.21;19.57;-5.68;3.66
